Timestamp,Gender,Education_Level,Age,Credible_News_Hour,Alien_Belief
3/15/2022 16:27:30,Female,Highschool Diploma,15,1,1
3/15/2022 16:28:26,Female,GED,20,8,7
3/16/2022 8:24:48,Female,Highschool Diploma,17,2,6
3/16/2022 8:25:02,Male,Highschool Diploma,18,0,1
3/16/2022 9:36:48,Female,Highschool Diploma,18,2,5
3/16/2022 11:11:38,Male,In Highschool,17,1,1
3/16/2022 11:14:44,Male,In Highschool,17,5,10
3/16/2022 11:22:44,Female,In Highschool,18,4,10
3/16/2022 11:24:51,Female,In Highschool,17,3,5
3/16/2022 11:30:15,Female,In Highschool,17,1,5
3/16/2022 11:36:05,Male,"Graduate (MA, Ph.D/Doctorate)",31,1,5
3/16/2022 12:41:25,Female,"Graduate (MA, Ph.D/Doctorate)",59,0,5
3/16/2022 13:09:47,Female,In Highschool,18,5,10
3/16/2022 13:56:45,Female,In Highschool,18,1,8
3/16/2022 13:58:09,Female,In Highschool,17,1,8
3/16/2022 13:59:27,Female,In Highschool,17,1,8
3/16/2022 14:03:06,Female,In Highschool,17,0,4
3/16/2022 14:32:24,Male,In Highschool,17,0,1
3/16/2022 14:38:56,Female,"Graduate (MA, Ph.D/Doctorate)",34,3,10
3/16/2022 14:39:57,Female,"Graduate (MA, Ph.D/Doctorate)",38,1,1
3/16/2022 14:56:05,Male,In Highschool,17,1,2
3/16/2022 15:00:34,Female,In Highschool,17,0,1
3/16/2022 17:01:10,Female,In Highschool,18,1,7
3/16/2022 17:11:58,Female,Highschool Diploma,19,2,10
3/16/2022 17:45:33,Female,Highschool Diploma,54,2,10
3/16/2022 17:57:51,Male,"Graduate (MA, Ph.D/Doctorate)",55,3,8
3/16/2022 18:06:48,Female,"Graduate (MA, Ph.D/Doctorate)",42,1,1
3/16/2022 18:23:02,Female,"Graduate (MA, Ph.D/Doctorate)",73,10,5
3/16/2022 18:40:50,Male,"Graduate (MA, Ph.D/Doctorate)",75,0,2
