,,,,,,,Spring 2020,Spring 2020,Spring 2020,Spring 2020,Summer 2020,Summer 2020,Summer 2020,Summer 2020,Fall 2020,Fall 2020,Fall 2020,Fall 2020,Spring 2021,Spring 2021,Spring 2021,Spring 2021,Summer 2021,Summer 2021,Summer 2021,Summer 2021,Fall 2021,Fall 2021,Fall 2021,Fall 2021,Spring 2022,Spring 2022,Spring 2022,Spring 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Fall 2022,Fall 2022,Fall 2022,Fall 2022
College Name,District Name,Education Status,Education Status Sub Category,Gender,Age Group,Ethnicity,Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%),Credit Student Count,Non-Credit Student Count,Credit Student Count (%),Non-Credit Student Count (%)
Canada,San Mateo CCD,College Degree,Received a Bachelor degree or higher,Female,,,497,1,73.96 %,50.00 %,231,6,73.33 %,85.71 %,530,1,77.60 %,50.00 %,571,1,78.43 %,50.00 %,205,0,74.28 %,0.00 %,469,0,75.52 %,0.00 %,559,0,77.75 %,0.00 %,238,0,75.56 %,0.00 %,504,0,71.79 %,0.00 %
Canada,San Mateo CCD,College Degree,Received a Bachelor degree or higher,Male,,,146,1,21.73 %,50.00 %,73,1,23.17 %,14.29 %,119,1,17.42 %,50.00 %,126,1,17.31 %,50.00 %,58,0,21.01 %,0.00 %,115,1,18.52 %,100.00 %,124,0,17.25 %,0.00 %,62,0,19.68 %,0.00 %,162,0,23.08 %,0.00 %
Canada,San Mateo CCD,College Degree,Received a Bachelor degree or higher,Unknown,,,29,0,4.32 %,0.00 %,11,0,3.49 %,0.00 %,34,0,4.98 %,0.00 %,31,0,4.26 %,0.00 %,13,0,4.71 %,0.00 %,37,0,5.96 %,0.00 %,36,0,5.01 %,0.00 %,15,0,4.76 %,0.00 %,36,0,5.13 %,0.00 %
Canada,San Mateo CCD,College Degree,Received an Associate Degree,Female,,,118,0,72.84 %,0.00 %,78,0,73.58 %,0.00 %,109,1,73.65 %,100.00 %,129,0,70.11 %,0.00 %,62,0,65.26 %,0.00 %,102,0,73.91 %,0.00 %,128,0,74.42 %,0.00 %,60,0,74.07 %,0.00 %,128,0,74.42 %,0.00 %
Canada,San Mateo CCD,College Degree,Received an Associate Degree,Male,,,37,0,22.84 %,0.00 %,24,1,22.64 %,100.00 %,32,0,21.62 %,0.00 %,47,1,25.54 %,100.00 %,29,0,30.53 %,0.00 %,31,0,22.46 %,0.00 %,40,0,23.26 %,0.00 %,16,0,19.75 %,0.00 %,40,0,23.26 %,0.00 %
Canada,San Mateo CCD,College Degree,Received an Associate Degree,Unknown,,,7,0,4.32 %,0.00 %,4,0,3.77 %,0.00 %,7,0,4.73 %,0.00 %,8,0,4.35 %,0.00 %,4,0,4.21 %,0.00 %,5,0,3.62 %,0.00 %,4,0,2.33 %,0.00 %,5,0,6.17 %,0.00 %,4,0,2.33 %,0.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,Foreign Secondary School Diploma / Certificate of Graduation,Female,,,189,0,64.51 %,0.00 %,77,3,63.11 %,100.00 %,161,2,67.36 %,66.67 %,165,1,69.33 %,100.00 %,55,0,76.39 %,0.00 %,145,0,72.50 %,0.00 %,150,0,67.87 %,0.00 %,62,0,69.66 %,0.00 %,134,0,68.37 %,0.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,Foreign Secondary School Diploma / Certificate of Graduation,Male,,,102,0,34.81 %,0.00 %,45,0,36.89 %,0.00 %,74,1,30.96 %,33.33 %,69,0,28.99 %,0.00 %,17,0,23.61 %,0.00 %,50,0,25.00 %,0.00 %,66,0,29.86 %,0.00 %,24,0,26.97 %,0.00 %,54,0,27.55 %,0.00 %
Canada,San Mateo CCD,High School Graduate Without A College Degree,Foreign Secondary School Diploma / Certificate of Graduation,Unknown,,,2,0,0.68 %,0.00 %,,,0.00 %,0.00 %,4,0,1.67 %,0.00 %,4,0,1.68 %,0.00 %,,,0.00 %,0.00 %,5,0,2.50 %,0.00 %,5,0,2.26 %,0.00 %,3,0,3.37 %,0.00 %,8,0,4.08 %,0.00 %
